Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.35     28.66     0.12                             rebound_collision (d2q9-bgkOld.c:347 @ 401412)
  0.35     28.78     0.12                             rebound_collision (d2q9-bgkOld.c:331 @ 401419)
  0.35     28.89     0.12                             rebound_collision (d2q9-bgkOld.c:360 @ 40149a)
  0.33     29.00     0.11                             propagate (d2q9-bgkOld.c:260 @ 40113e)
  0.33     29.11     0.11                             rebound_collision (d2q9-bgkOld.c:336 @ 4013ed)
  0.33     29.22     0.11                             rebound_collision (d2q9-bgkOld.c:358 @ 40148c)
  0.33     29.33     0.11                             rebound_collision (d2q9-bgkOld.c:375 @ 40158a)
  0.33     29.44     0.11                             rebound_collision (d2q9-bgkOld.c:376 @ 40158f)
  0.33     29.55     0.11                             rebound_collision (d2q9-bgkOld.c:394 @ 4016d6)
  0.33     29.66     0.11                             rebound_collision (d2q9-bgkOld.c:393 @ 4016e2)
  0.32     29.77     0.11                             propagate (d2q9-bgkOld.c:246 @ 4010d0)
  0.32     29.87     0.11                             rebound_collision (d2q9-bgkOld.c:335 @ 40145e)
  0.32     29.98     0.11                             rebound_collision (d2q9-bgkOld.c:371 @ 401545)
  0.32     30.08     0.11                             rebound_collision (d2q9-bgkOld.c:372 @ 401557)
  0.32     30.19     0.11                             rebound_collision (d2q9-bgkOld.c:402 @ 4015c6)
  0.30     30.29     0.10                             av_velocity (d2q9-bgkOld.c:432 @ 4018bb)
  0.30     30.39     0.10                             av_velocity (d2q9-bgkOld.c:448 @ 4018bf)
  0.30     30.49     0.10                             rebound_collision (d2q9-bgkOld.c:331 @ 4013f5)
  0.30     30.59     0.10                             rebound_collision (d2q9-bgkOld.c:336 @ 401408)
  0.30     30.69     0.10                             rebound_collision (d2q9-bgkOld.c:375 @ 4014f3)
  0.30     30.79     0.10                             rebound_collision (d2q9-bgkOld.c:369 @ 4014f7)
  0.30     30.89     0.10                             rebound_collision (d2q9-bgkOld.c:386 @ 401641)
  0.30     30.99     0.10                             rebound_collision (d2q9-bgkOld.c:384 @ 401646)
  0.30     31.09     0.10                             propagate (d2q9-bgkOld.c:257 @ 401159)
  0.30     31.19     0.10                             rebound_collision (d2q9-bgkOld.c:343 @ 401448)
  0.29     31.28     0.10                             propagate (d2q9-bgkOld.c:256 @ 401154)
  0.27     31.37     0.09                             rebound_collision (d2q9-bgkOld.c:362 @ 4014b7)
