Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.71     20.90     0.22                             rebound_collision (d2q9-bgk.c:331 @ 401362)
  0.71     21.12     0.22                             rebound_collision (d2q9-bgk.c:363 @ 40141c)
  0.67     21.33     0.21                             av_velocity (d2q9-bgk.c:448 @ 401933)
  0.67     21.54     0.21                             rebound_collision (d2q9-bgk.c:376 @ 4014c1)
  0.64     21.74     0.20                             av_velocity (d2q9-bgk.c:432 @ 4018f6)
  0.64     21.94     0.20                             rebound_collision (d2q9-bgk.c:402 @ 4015a2)
  0.61     22.13     0.19                             av_velocity (d2q9-bgk.c:447 @ 401944)
  0.61     22.32     0.19                             rebound_collision (d2q9-bgk.c:400 @ 4014e0)
  0.58     22.50     0.18                             rebound_collision (d2q9-bgk.c:331 @ 4013a2)
  0.58     22.68     0.18                             rebound_collision (d2q9-bgk.c:386 @ 401595)
  0.58     22.86     0.18                             rebound_collision (d2q9-bgk.c:400 @ 4015b0)
  0.55     23.03     0.17                             rebound_collision (d2q9-bgk.c:343 @ 4013af)
  0.55     23.20     0.17                             rebound_collision (d2q9-bgk.c:402 @ 401504)
  0.51     23.36     0.16                             propagate (d2q9-bgk.c:254 @ 4010db)
  0.51     23.52     0.16                             propagate (d2q9-bgk.c:255 @ 401110)
  0.51     23.68     0.16                             rebound_collision (d2q9-bgk.c:340 @ 401386)
  0.51     23.84     0.16                             rebound_collision (d2q9-bgk.c:402 @ 401562)
  0.48     23.99     0.15                             rebound_collision (d2q9-bgk.c:400 @ 401573)
  0.47     24.14     0.15                             propagate (d2q9-bgk.c:258 @ 401160)
  0.45     24.28     0.14                             rebound_collision (d2q9-bgk.c:346 @ 4013a7)
  0.42     24.41     0.13                             rebound_collision (d2q9-bgk.c:331 @ 401308)
  0.42     24.54     0.13                             rebound_collision (d2q9-bgk.c:400 @ 40152c)
  0.40     24.66     0.13                             av_velocity (d2q9-bgk.c:454 @ 401966)
  0.40     24.79     0.13                             propagate (d2q9-bgk.c:252 @ 4010d5)
  0.40     24.91     0.13                             rebound_collision (d2q9-bgk.c:384 @ 401580)
  0.40     25.04     0.13                             rebound_collision (d2q9-bgk.c:385 @ 40158a)
  0.39     25.16     0.12                             rebound_collision (d2q9-bgk.c:352 @ 4013f9)
  0.37     25.27     0.12                             av_velocity (d2q9-bgk.c:422 @ 401972)
  0.37     25.39     0.12                             propagate (d2q9-bgk.c:253 @ 4010f8)
