Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.41     27.07     0.13                             rebound_collision (d2q9-bgk.c:332 @ 40145f)
  0.41     27.20     0.13                             rebound_collision (d2q9-bgk.c:378 @ 401466)
  0.41     27.32     0.13                             rebound_collision (d2q9-bgk.c:408 @ 401661)
  0.41     27.45     0.13                             rebound_collision (d2q9-bgk.c:436 @ 401666)
  0.41     27.57     0.13                             rebound_collision (d2q9-bgk.c:411 @ 401696)
  0.41     27.70     0.13                             rebound_collision (d2q9-bgk.c:436 @ 40169b)
  0.39     27.82     0.12                             rebound_collision (d2q9-bgk.c:337 @ 4013fa)
  0.39     27.94     0.12                             rebound_collision (d2q9-bgk.c:340 @ 4013fd)
  0.39     28.06     0.12                             rebound_collision (d2q9-bgk.c:450 @ 401721)
  0.39     28.18     0.12                             rebound_collision (d2q9-bgk.c:434 @ 401726)
  0.38     28.29     0.12                             rebound_collision (d2q9-bgk.c:379 @ 401479)
  0.38     28.41     0.12                             rebound_collision (d2q9-bgk.c:363 @ 40147e)
  0.34     28.51     0.11                             rebound_collision (d2q9-bgk.c:340 @ 401415)
  0.34     28.62     0.11                             rebound_collision (d2q9-bgk.c:338 @ 40141c)
  0.34     28.72     0.11                             rebound_collision (d2q9-bgk.c:436 @ 401749)
  0.33     28.82     0.10                             rebound_collision (d2q9-bgk.c:390 @ 401673)
  0.33     28.92     0.10                             rebound_collision (d2q9-bgk.c:435 @ 4017fc)
  0.33     29.02     0.10                             rebound_collision (d2q9-bgk.c:457 @ 401849)
  0.33     29.12     0.10                             rebound_collision (d2q9-bgk.c:459 @ 40184e)
  0.29     29.21     0.09                             rebound_collision (d2q9-bgk.c:422 @ 40176b)
  0.28     29.30     0.09                             rebound_collision (d2q9-bgk.c:405 @ 4015d3)
  0.28     29.38     0.09                             rebound_collision (d2q9-bgk.c:390 @ 4015d7)
  0.28     29.47     0.09                             rebound_collision (d2q9-bgk.c:435 @ 4016a5)
  0.26     29.55     0.08                             rebound_collision (d2q9-bgk.c:383 @ 401540)
  0.25     29.62     0.08                             rebound_collision (d2q9-bgk.c:403 @ 4015e9)
  0.25     29.70     0.08                             rebound_collision (d2q9-bgk.c:404 @ 4015ef)
  0.23     29.77     0.07                             rebound_collision (d2q9-bgk.c:411 @ 401677)
  0.21     29.83     0.07                             rebound_collision (d2q9-bgk.c:377 @ 40149e)
  0.21     29.90     0.07                             rebound_collision (d2q9-bgk.c:363 @ 4014a3)
  0.20     29.96     0.06                             rebound_collision (d2q9-bgk.c:326 @ 4013a9)
  0.20     30.02     0.06                             rebound_collision (d2q9-bgk.c:334 @ 4013b0)
  0.20     30.08     0.06                             rebound_collision (d2q9-bgk.c:403 @ 401545)
  0.20     30.14     0.06                             rebound_collision (d2q9-bgk.c:406 @ 40154b)
  0.18     30.19     0.06                             rebound_collision (d2q9-bgk.c:434 @ 40167c)
  0.16     30.24     0.05                             rebound_collision (d2q9-bgk.c:424 @ 4017ee)
  0.16     30.29     0.05                             rebound_collision (d2q9-bgk.c:454 @ 401811)
  0.13     30.33     0.04                             rebound_collision (d2q9-bgk.c:446 @ 4017c1)
  0.11     30.37     0.04                             rebound_collision (d2q9-bgk.c:347 @ 401370)
  0.11     30.40     0.04                             rebound_collision (d2q9-bgk.c:426 @ 4017e9)
  0.10     30.43     0.03                             rebound_collision (d2q9-bgk.c:435 @ 40166f)
  0.08     30.46     0.03                             rebound_collision (d2q9-bgk.c:435 @ 401597)
  0.08     30.48     0.03                             rebound_collision (d2q9-bgk.c:452 @ 4017d3)
  0.07     30.50     0.02                             rebound_collision (d2q9-bgk.c:418 @ 401708)
  0.07     30.53     0.02                             rebound_collision (d2q9-bgk.c:421 @ 401783)
  0.05     30.54     0.02                             rebound_collision (d2q9-bgk.c:415 @ 401591)
  0.03     30.55     0.01                             accelerate_flow (d2q9-bgk.c:219 @ 400f16)
  0.03     30.56     0.01                             accelerate_flow (d2q9-bgk.c:220 @ 400f24)
  0.03     30.57     0.01                             rebound_collision (d2q9-bgk.c:363 @ 401447)
  0.03     30.58     0.01                             rebound_collision (d2q9-bgk.c:419 @ 401719)
  0.03     30.59     0.01                             rebound_collision (d2q9-bgk.c:419 @ 401736)
  0.03     30.60     0.01                             rebound_collision (d2q9-bgk.c:421 @ 40173a)
  0.03     30.61     0.01                             rebound_collision (d2q9-bgk.c:423 @ 401791)
  0.03     30.62     0.01                             rebound_collision (d2q9-bgk.c:421 @ 401796)
  0.02     30.63     0.01                             accelerate_flow (d2q9-bgk.c:221 @ 400f32)
  0.02     30.63     0.01                             accelerate_flow (d2q9-bgk.c:224 @ 400f40)
  0.02     30.64     0.01                             rebound_collision (d2q9-bgk.c:336 @ 401323)
  0.02     30.64     0.01                             rebound_collision (d2q9-bgk.c:383 @ 4014db)
  0.02     30.65     0.01                             rebound_collision (d2q9-bgk.c:391 @ 401509)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2016 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.
