Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.41     27.08     0.13                             rebound_collision (d2q9-bgk.c:403 @ 4015e9)
  0.41     27.20     0.13                             rebound_collision (d2q9-bgk.c:404 @ 4015ef)
  0.41     27.33     0.13                             rebound_collision (d2q9-bgk.c:450 @ 401721)
  0.41     27.45     0.13                             rebound_collision (d2q9-bgk.c:434 @ 401726)
  0.39     27.57     0.12                             rebound_collision (d2q9-bgk.c:340 @ 401415)
  0.39     27.69     0.12                             rebound_collision (d2q9-bgk.c:338 @ 40141c)
  0.39     27.81     0.12                             rebound_collision (d2q9-bgk.c:379 @ 401479)
  0.39     27.93     0.12                             rebound_collision (d2q9-bgk.c:363 @ 40147e)
  0.39     28.05     0.12                             rebound_collision (d2q9-bgk.c:437 @ 40164d)
  0.39     28.17     0.12                             rebound_collision (d2q9-bgk.c:408 @ 401652)
  0.37     28.29     0.12                             rebound_collision (d2q9-bgk.c:326 @ 4013a9)
  0.36     28.40     0.11                             rebound_collision (d2q9-bgk.c:337 @ 4013fa)
  0.36     28.51     0.11                             rebound_collision (d2q9-bgk.c:340 @ 4013fd)
  0.36     28.62     0.11                             rebound_collision (d2q9-bgk.c:332 @ 40145f)
  0.36     28.73     0.11                             rebound_collision (d2q9-bgk.c:378 @ 401466)
  0.36     28.84     0.11                             rebound_collision (d2q9-bgk.c:390 @ 401673)
  0.36     28.95     0.11                             rebound_collision (d2q9-bgk.c:425 @ 4017ca)
  0.34     29.05     0.11                             rebound_collision (d2q9-bgk.c:392 @ 4014d2)
  0.34     29.16     0.11                             rebound_collision (d2q9-bgk.c:389 @ 4014d7)
  0.34     29.26     0.11                             rebound_collision (d2q9-bgk.c:394 @ 4014fb)
  0.34     29.37     0.11                             rebound_collision (d2q9-bgk.c:391 @ 4014ff)
  0.32     29.47     0.10                             rebound_collision (d2q9-bgk.c:408 @ 401661)
  0.32     29.57     0.10                             rebound_collision (d2q9-bgk.c:436 @ 401666)
  0.32     29.67     0.10                             rebound_collision (d2q9-bgk.c:422 @ 40176b)
  0.29     29.76     0.09                             rebound_collision (d2q9-bgk.c:411 @ 401677)
  0.28     29.84     0.09                             rebound_collision (d2q9-bgk.c:339 @ 401429)
  0.28     29.93     0.09                             rebound_collision (d2q9-bgk.c:338 @ 40142d)
  0.28     30.01     0.09                             rebound_collision (d2q9-bgk.c:436 @ 401749)
  0.24     30.09     0.08                             rebound_collision (d2q9-bgk.c:377 @ 40149e)
  0.24     30.16     0.08                             rebound_collision (d2q9-bgk.c:363 @ 4014a3)
  0.24     30.24     0.08                             rebound_collision (d2q9-bgk.c:424 @ 4017ee)
  0.23     30.31     0.07                             rebound_collision (d2q9-bgk.c:426 @ 4017e9)
  0.21     30.37     0.07                             rebound_collision (d2q9-bgk.c:435 @ 4016a5)
  0.19     30.43     0.06                             rebound_collision (d2q9-bgk.c:452 @ 4017d3)
  0.19     30.49     0.06                             rebound_collision (d2q9-bgk.c:454 @ 401811)
  0.15     30.54     0.05                             rebound_collision (d2q9-bgk.c:403 @ 401545)
  0.15     30.59     0.05                             rebound_collision (d2q9-bgk.c:406 @ 40154b)
  0.15     30.63     0.05                             rebound_collision (d2q9-bgk.c:434 @ 40167c)
  0.13     30.67     0.04                             rebound_collision (d2q9-bgk.c:446 @ 4017c1)
  0.10     30.70     0.03                             rebound_collision (d2q9-bgk.c:415 @ 401591)
  0.10     30.73     0.03                             rebound_collision (d2q9-bgk.c:435 @ 401597)
  0.08     30.76     0.03                             rebound_collision (d2q9-bgk.c:347 @ 401370)
  0.06     30.78     0.02                             rebound_collision (d2q9-bgk.c:336 @ 401323)
  0.06     30.80     0.02                             rebound_collision (d2q9-bgk.c:435 @ 40166f)
  0.06     30.82     0.02                             rebound_collision (d2q9-bgk.c:418 @ 401744)
  0.05     30.83     0.02                             rebound_collision (d2q9-bgk.c:423 @ 401791)
  0.05     30.85     0.02                             rebound_collision (d2q9-bgk.c:421 @ 401796)
  0.03     30.86     0.01                             rebound_collision (d2q9-bgk.c:340 @ 401403)
  0.03     30.87     0.01                             rebound_collision (d2q9-bgk.c:383 @ 4014db)
  0.03     30.88     0.01                             rebound_collision (d2q9-bgk.c:418 @ 401708)
  0.03     30.89     0.01                             rebound_collision (d2q9-bgk.c:419 @ 401719)
  0.03     30.90     0.01                             rebound_collision (d2q9-bgk.c:421 @ 401783)
  0.03     30.91     0.01                             rebound_collision (d2q9-bgk.c:424 @ 4017c5)
  0.02     30.91     0.01                             rebound_collision (d2q9-bgk.c:343 @ 401422)
  0.02     30.92     0.01                             rebound_collision (d2q9-bgk.c:338 @ 401425)
  0.02     30.92     0.01                             rebound_collision (d2q9-bgk.c:391 @ 401509)
  0.02     30.93     0.01                             rebound_collision (d2q9-bgk.c:437 @ 4015b1)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2015 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.
